"Hem","50.65256","3.18681"
"Sailly-Lez-Lannoy","50.65","3.21667"
"Lys-Lez-Lannoy","50.66667","3.21667"
"Cléty","50.65341","2.18561"
"Dohem","50.63902","2.18592"
"Conteville-en-Ternois","50.43333","2.31667"
"Lées-Athas","42.96667","-0.61667"
"Lapugnoy","50.51635","2.5346"
"Marles-les-Mines","50.50478","2.50882"
"Paris","48.85341","2.3488"
"Lasseube","43.23333","-0.48333"
"Radinghem-en-Weppes","50.61884","2.90924"
"Bois-Grenier","50.64985","2.87409"
"Tourcoing","50.72391","3.16117"
"Mencas","50.55972","2.13758"
"Houplines","50.69499","2.91518"
"Laignes","47.84283","4.36478"
"Polisy","48.06667","4.46667"
"Villedieu","47.91641","4.36194"
"Monein","43.33333","-0.58333"
"Ascq (Villeneuve-d'Ascq)","50.61659","3.158"
"Rumes","50.5545","3.30535"
"Chemy","50.53111","2.98862"
"Wittes","50.66998","2.39141"
"Renescure","50.72754","2.36801"
"Fromelles","50.60704","2.8534"
"Nieppe","50.70425","2.83506"
"Oloron-Sainte-Marie - Paroisse Sainte-Croix","43.189123","-0.606101"
"Oloron-Sainte-Marie - le Faget","43.229532","-0.5799039999999422"
"Estialescq","43.21667","-0.55"
"Foix","43","1.5"
"Oloron-Sainte-Marie","43.19441","-0.61069"
"Croix","50.67846","3.1493"
"Wattrelos","50.70118","3.21812"
"Roybon","45.25966","5.24455"
"Roubaix","50.69421","3.17456"
"Gundershoffen","48.90648","7.66096"
"Bar-sur-Seine","48.11294","4.37656"
"Briel-sur-Barse","48.20942","4.35608"
"Russeignies","50.74452","3.53155"
"Bouvignies","50.43627","3.24361"
"Bruxelles","50.85045","4.34878"
"Sailly-sur-la-Lys","50.6582","2.76872"
"Steenwerck","50.70199","2.77829"
"Quelmes","50.73333","2.13758"
"Lasseubetat","43.16667","-0.45"
"Annappes (Villeneuve-d'Ascq)","50.62514","3.14787"
"Lannoy","50.66674","3.21012"
"Cardesse","43.26667","-0.58333"
"Balinghem","50.86074","1.94366"
"Lille","50.63297","3.05858"
"Esplechin","50.57358","3.30429"
"Merck-Saint-Liévin","50.62474","2.11605"
"Wasquehal","50.67043","3.13382"
"Floringhem","50.49594","2.42538"
"Herlin-le-Sec","50.35526","2.32966"
"Saint-Pol-sur-Ternoise","50.38113","2.33407"
"Labeuvrière","50.51915","2.56268"
"Dottignies","50.73333","3.3"
"Tardinghen","50.86651","1.63139"
"Wierre-Effroy","50.77826","1.73716"
"Boursin","50.77646","1.83457"
"Pihen-lès-Guînes","50.87143","1.78664"
"Esquerdes","50.70414","2.18851"
"Zudausques","50.74876","2.14762"
"La Gorgue","50.6379","2.71502"
"Brias","50.4097","2.3799"
"Valhuon","50.43354","2.37805"
"Pecq","50.68619","3.33789"
"Templeuve","50.52336","3.17809"
"Deerlijk","50.85337","3.35416"
"Beernem","51.13981","3.33896"
"Sint-Andries","51.19696","3.17891"
"Loppem","51.15662","3.19599"
"Ruddervoorde","51.09589","3.20743"
"Villers-Brûlin","50.36716","2.53701"
"Huclier","50.43033","2.35548"
"Wavrans-sur-L'Aa","50.68292","2.13778"
"Zwevezele","51.03682","3.21186"
"Wingene","51.05782","3.27359"
"Boulogne-sur-Mer","50.71667","1.61667"
"Wez-Velvain","50.54607","3.38878"
"Beclers","50.62122","3.5042"
"Roncq","50.7533","3.12131"
"Bilques (Helfaut)","50.697591","2.26094"
"Helfaut","50.69783","2.24234"
"Campagne-lès-Guines","50.83333","1.9"
"Erquinghem-Lys","50.67601","2.84505"
"Heule","50.83752","3.23818"
"Hestrus","50.44824","2.33054"
"Fleurbaix","50.65061","2.83305"
"Verdets","43.23333","-0.65"
"Lucq-de-Béarn","43.3","-0.66667"
"Précilhon","43.2","-0.58333"
"Leers","50.68217","3.24429"
"Nomain","50.49857","3.24991"
"Herseaux","50.71667","3.21667"
"Marcq-en-Baroeul","50.66667","3.08333"
"Racquinghem","50.69245","2.35736"
"Heuringhem","50.69638","2.28333"
"Armentières","50.68568","2.88214"
"Orthez - Paroisse de Départ-Sainte-Suzanne","43.48838","-0.77244"
"Ogeu-les-Bains","43.15","-0.5"
"Bruyelle","50.558","3.42791"
"Verchocq","50.56398","2.04109"
"Colline-Beaumont","50.34133","1.68706"
"Saint-Quentin-sur-Isère","45.27881","5.54221"
"Febvin-Palfart","50.5383","2.31529"
"Saint-Omer","50.75","2.25"
"Colombey-lès-Choiseul - Breuvannes-en-Bassigny","48.06695","5.62654"
"Tatinghem","50.74317","2.20724"
"Flers (Villeneuve d'Ascq)","50.63333","3.13333"
"Lille - Fives","50.628251","3.090639"
"Guînes","50.86708","1.87025"
"Kortrijk","50.82803","3.26487"
"Kuurne","50.85143","3.2824"
"Champagney","47.70504","6.68173"
"Seix","42.8639","1.20082"
"Mouscron","50.74497","3.20639"
"Acquin","50.7276","2.08989"
"Ennevelin","50.54121","3.12972"
"Cuqueron","43.31667","-0.55"
"Tournai","50.60715","3.38932"
"Forest-sur-Marque","50.63341","3.18939"
"Lendelede","50.88626","3.23747"
"Hazebrouck","50.72374","2.53729"
"Ardooie","50.9757","3.19736"
"Warneton (B)","50.75158","2.94635"
"Brêmes","50.85483","1.97688"
"Selles","50.70021","1.89596"
"Saint-Jean-de-Duras","44.68333","0.3"
"Luingne","50.73952","3.23602"
"Halluin","50.78628","3.12611"
"Néchin","50.66702","3.26649"
"Blaton","50.50038","3.66008"
"Bapaume","50.10379","2.84966"
"Berles-Monchel","50.34341","2.53886"
"Templeuve (B)","50.64077","3.33273"
"Toufflers","50.66039","3.23358"
"Moorsele","50.8409","3.15971"
"Gullegem","50.84301","3.20466"
"Valenciennes","50.35","3.53333"
"Nieuwkerke","50.74709","2.8286"
"Troisvaux","50.40166","2.34307"
"Kruishoutem","50.90168","3.52588"
"Hersin-Coupigny","50.44796","2.6494"
"Haillicourt","50.47519","2.57458"
"Houdain","50.4504","2.53777"
"Estaimbourg","50.67998","3.30785"
"Aalbeke","50.77848","3.22952"
"Saint-Léger (Ht.)","50.70589","3.3144"
"Saméon","50.47135","3.33544"
"Willems","50.63206","3.2384"
"Deûlémont","50.73333","2.95"
"Saint-Tricat","50.89326","1.83126"
"Bailleul","50.73592","2.73594"
"Izegem","50.91396","3.21378"
"Chanceaux","47.51821","4.71963"
"Longuenesse","50.73395","2.2352"
"Féas","43.16667","-0.68333"
"Beuvry-la-Forêt","50.45","3.28333"
"Bouquehault","50.82577","1.90276"
"Kindwiller","48.86164","7.59842"
"Evregnies","50.7126","3.28654"
"Bretteville-sur-Ay","49.26","-1.63237"
"Castelnau-Barbarens","43.57488","0.72417"
"Goès","43.2","-0.58333"
"La Thieuloye","50.41373","2.43664"
"Pihem","50.68302","2.21356"
"Bondues","50.70196","3.09497"
"Wismes","50.65424","2.07101"
"Coyecques","50.60362","2.18323"
"Capelle-sur-la-Lys","50.588765","2.17449"
"Maroilles","50.13508","3.76132"
"Wardrecques","50.71108","2.34483"
"Heestert","50.78204","3.41218"
"Bellegem","50.77686","3.27933"
"Snellegem","51.16776","3.11921"
"Hervelinghen","50.88126","1.71429"
"Renaix","50.75045","3.60488"
"Rinxent","50.80714","1.72899"
"Audresselles","50.82481","1.59422"
"Vielleségure","43.35","-0.68333"
"Ledeuix","43.21667","-0.61667"
"Frelinghien","50.71667","2.93333"
"Villeton","44.37478","0.28797"
"Tonneins","44.39206","0.31241"
"Saint-Germain-sur-Ay","49.2351","-1.59444"
"Estaimpuis","50.70485","3.26785"
